Year,Value,y_pred
1970,5141,3025
1971,5269,3301
1972,5409,3576
1973,5710,3852
1974,5432,4127
1975,5007,4403
1976,4978,4678
1977,5340,4954
1978,5304,5229
1979,5245,5505
1980,5013,5780
1981,4985,6056
1982,5213,6331
1983,5607,6607
1984,5923,6882
1985,6244,7157
1986,6582,7433
1987,7035,7708
1988,7108,7984
1989,7370,8259
1990,7699,8535
1991,7700,8810
1992,8162,9086
1993,8576,9361
1994,9006,9637
1995,9220,9912
1996,9633,10188
1997,9904,10463
1998,10100,10739
1999,10510,11014
2000,10697,11290
2001,10830,11565
2002,11240,11841
2003,11736,12116
2004,12480,12392
2005,13024,12667
2006,13287,12943
2007,13774,13218
2008,13918,13493
2009,14435,13769
2010,14722,14044
2011,15062,14320
2012,15341,14595
2013,15677,14871
2014,15942,15146
2015,16256,15422
2016,16564,15697
2017,16443,15973
2018,16507,16248
2019,16571,16524
2020,16647,16799
2021,17048,17075